OTU	Test-Statistic	P	FDR_P	Bonferroni_P	skin/other_mean	oral_mean	gut_mean	taxonomy
denovo2218	184.611145629	8.16956773317e-41	2.02890566275e-38	1.27821056753e-36	0.0188679245283	1.19565217391	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
denovo21886	181.085716483	4.76141778652e-40	1.1640178545e-37	7.44971426879e-36	0.566037735849	14.9782608696	0.047619047619	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
denovo16470	180.503830176	6.36929400316e-40	1.53313806113e-37	9.96539739735e-36	0.0125786163522	0.0	0.785714285714	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
denovo19511	179.603480414	9.99078844145e-40	2.36842236295e-37	1.56315875955e-35	0.0188679245283	0.0	2.33333333333	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
denovo17773	177.895841696	2.34643646401e-39	5.47945446506e-37	3.67123449159e-35	176.157232704	0.0217391304348	0.547619047619	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__acnes
denovo19965	175.680211338	7.104390391e-39	1.63463664791e-36	1.11155292058e-34	0.0188679245283	0.0	1.30952380952	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
denovo2498	174.524036151	1.26644714713e-38	2.87171479188e-36	1.98148320639e-34	0.0125786163522	1.10869565217	0.0238095238095	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae
denovo16377	173.570855219	2.03970649846e-38	4.53356423533e-36	3.19132478749e-34	1.25995807128	0.0	10.6428571429	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
denovo17521	173.553691212	2.05728659535e-38	4.53356423533e-36	3.21883060709e-34	0.134171907757	0.0	11.5476190476	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
denovo3992	172.454127133	3.56502108047e-38	7.74698886459e-36	5.5778319825e-34	42.7589098532	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__
denovo2231	171.693125561	5.21568667631e-38	1.11787169504e-35	8.16046337376e-34	0.0461215932914	0.0	7.11904761905	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
